Country,County,Name,Type,Ownership,Latitude,Longitude,LL_source
Kenya,Baringo,Aiyebo Dispensary,Dispensary,MoH,0.6578,35.8076999999999,GPS
Kenya,Baringo,Akwichatis Health Centre,Health Centre,MoH,1.0015,36.2361999999999,GPS
Kenya,Baringo,Arama Dispensary,Dispensary,MoH,0.0438,35.6608,GPS
Kenya,Baringo,Atiar Dispensary,Dispensary,CBO,0.7978,35.7907999999999,Google Earth
Kenya,Baringo,Ayatya Dispensary,Dispensary,MoH,0.6742,35.7882,GPS
Kenya,Baringo,Barpello Dispensary,Dispensary,MoH,1.1742,35.9031,Google Earth
Kenya,Baringo,Barsemoi Dispensary,Dispensary,MoH,0.4648,35.8947,Google Earth
Kenya,Baringo,Bartabwa Dispensary,Dispensary,MoH,0.8361,35.8104,GPS
Kenya,Baringo,Bartolimo Dispensary,Dispensary,MoH,0.6821,35.8162999999999,GPS
Kenya,Baringo,Barwessa Health Centre,Health Centre,MoH,0.7031,35.6985999999999,GPS
Kenya,Baringo,Bekibon Dispensary,Dispensary,MoH,0.3402,35.886,Google Earth
Kenya,Baringo,Borrowonin Dispensary,Dispensary,MoH,0.4447,35.7813999999999,GPS
Kenya,Baringo,Bossei Dispensary,Dispensary,MoH,0.6773,35.7867,GPS
Kenya,Baringo,Cheberen Dispensary,Dispensary,MoH,0.2291,35.8352999999999,GPS
Kenya,Baringo,Chemasusu Dispensary,Dispensary,MoH,0.0907,35.6439,GPS
Kenya,Baringo,Chemoinoi Dispensary,Dispensary,MoH,-0.1411,35.9408999999999,GPS
Kenya,Baringo,Chemolingot District Hospital,District Hospital,MoH,0.9862,35.9712,Google Earth
Kenya,Baringo,Chemsik Dispensary,Dispensary,MoH,0.9663,36.0159,Google Earth
Kenya,Baringo,Cheplambus Dispensary,Dispensary,MoH,0.2897,35.75,GPS
Kenya,Baringo,Chepturu Dispensary,Dispensary,CBO,1.179,35.8134,GPS
Kenya,Baringo,Chesirimion Dispensary,Dispensary,MoH,0.8411,36.0274,GPS
Kenya,Baringo,Chesongo Dispensary,Dispensary,MoH,0.5476,35.6798,Google Earth
Kenya,Baringo,Churo FBO Dispensary,Dispensary,FBO,0.7706,36.4041,GPS
Kenya,Baringo,Churo GOK Dispensary,Dispensary,MoH,0.038,36.02,GPS
Kenya,Baringo,Eldama Ravine AIC Health Centre,Health Centre,FBO,0.0409,35.7241,GPS
Kenya,Baringo,Eldama Ravine District Hospital,District Hospital,MoH,0.0473,35.7302,GPS
Kenya,Baringo,Eldume Dispensary,Dispensary,MoH,0.4348,36.0018,Google Earth
Kenya,Baringo,Emining Health Centre,Health Centre,MoH,0.1435,35.8868999999999,GPS
Kenya,Baringo,Emsos Dispensary,Dispensary,MoH,0.1615,36.1000999999999,GPS
Kenya,Baringo,Equator Health Centre,Health Centre,MoH,-0.0031,35.5679,GPS
Kenya,Baringo,Esageri Health Centre,Health Centre,MoH,-0.0241,35.7873999999999,Google Earth
Kenya,Baringo,Igure Dispensary,Dispensary,MoH,-0.0446,35.649,GPS
Kenya,Baringo,Illinga'rua Dispensary,Dispensary,MoH,0.4713,36.0488,Google Earth
Kenya,Baringo,Kabarnet District Hospital,District Hospital,MoH,0.4926,35.7434,GPS
Kenya,Baringo,Kabartonjo District Hospital,District Hospital,MoH,0.6257,35.7892,GPS
